name,review,wakati,topic number
大七,東京駅で入手。ボトルに2013年醸造とあるので、6年熟成のようです。精米歩合69%、アルコール度数15度はヌル燗で。大七の複雑で豊かな旨味が、熟成によって深みを増して強く広がります。ラベルには燗がお勧めですが、冷～ヌル燗で試しました。冷では、熟成の独特の香りを感じました。老酒のような、甘みとアミノ酸のメイラードによるカラメル香です。それと酸味が少し強く感じます。温めると酸味が抑えられ、香りも抑えられて、熟成した日本酒らしさを感じました。新亀の古酒よりは飲みやすく、大七らしい旨味です。大七,東京  入手 ボトル  醸造 ある  熟成 よう 精米 歩合    アルコール    ヌル   複雑 豊か 旨味 熟成 深み 増す 強い 広がる ラベル  勧める  ヌル  試す  熟成 独特 香り 感じる 老酒 よう 甘み アミノ酸 メイラード カラメル  それ 酸味 強い 感じる 温める 酸味 抑える られる 香り 抑える られる 熟成 する 日本   感じる   飲む やすい  旨味 ,25
秋鹿,発売されてまもないので、キャップを開けたとたんに吹き出しました。味は食中酒です。濁り酒では甘いものが多いので、この酒は自然体で料理に合わせやすいです。秋鹿,発売 する れる ない キャップ 開ける とたん 吹き出す     濁り  甘い もの 多い  自然体 料理 合わせる やすい 秋鹿,5
十九,含んだアタックは強め、質感はトロリ、香味はライチ、余韻はキレ良く少しガス感含んで爽やかにキレ良くフイッニッシュ。華やかな感じですが意外とアテ選ばずで何でもイケる。十九,含む アタック 強める 質感 香味 ライチ 余韻 キレ 良い ガス  含む 爽やか キレ 良い フイッニッシュ 華やか 感じ アテる 選ぶ  イケ  ,25
上喜元,純米にしては軽くてフルーティーさを感じるアルコールが15%のせいか味のせいか飲みやすいやや甘くて後味すっきりな辛口華やかさはないが単品でも､食事に合わせてでもいける上喜元,  する 軽い フルーティー  感じる アルコール   せい  せい 飲む やすい 甘い 後味 辛口 華やかさ ない 単品 食事 合わせる いける   ,17
黒龍,黒龍のひやおろしを手に入れました。福井県産五百万石100%で精米歩合55%、アルコール度数18度です。軽い辛口で旨味がしっかり乗っているお酒です。アルコール度数度が少し高いからか、香りは軽いエステル香に感じます。常温で、つまみはチーズを合わせてみました。ゆっくりと旨味を味わう飲み方が合っているのではないでしょうか。duckyさんが表だったので、写真は裏で。敦賀のウタさんで入手。黒龍,  ひる おろす  入れる 福井         精米 歩合    アルコール    軽い 辛口 旨味 乗る いる  アルコール    高い 香り 軽い エステル  感じる 常温 つまむ チーズ 合わせる みる 旨味 味わう 飲む  合う いる  さん  写真  敦賀 ウタ さん 入手  ,12
笹正宗,天然水のような優しい口当たり、フワッと広がる果実感、仄かな米の旨味。純米ですが線が細く果実感の印象が強め。寄り添う感じを伴いながら余韻はキレ良くスッとヒケる。天然水のフレーバー付きみたいな感じ。飲み始め最初にチョイスかな。笹正宗,天然  よう 優しい 口当たり 広がる 果実  仄か  旨味    細い 果実  印象 強める 寄り添う 感じ 伴う 余韻 キレ 良い スッ ヒケ 天然  フレーバー 付き みたい 感じ 飲む 始める 最初 チョイス  正宗,19
笹正宗,開栓即ボンは無いが開けるとしゅわしゅわと底に溜まったオリが浮いてくる。含むとさほどきつくないガス感、オリは大きめで米の食感と旨味が残っている。ご飯食べているような感じ。日常的安心感がある。アテもご飯に合うものなら何でも合うと思う。笹正宗,  ボン 無い 開ける する ゅわしゅわと  溜まる オリ 浮く くる 含む きつい ガス  オリ 大きめ    旨味 残る いる ご飯 食べる いる よう 感じ 日常  安心  ある アテ ご飯 合う もの 合う 思う  正宗,17
龍神,みずみずしくフレッシュ、裏ラベルにあるように、ライチの果実香、グレープフルーツの酸でキレ良くヒケます。意外にサクッと天ぷら系にも合う。真澄や花の香が好きな人、落ち着いたグレープフルーツ系酸が好きな人にはお勧め。龍神,みずみずしい フレッシュ  ラベル ある よう ライチ 果実  グレープフルーツ  キレ 良い ヒケ 意外 サクッ 天ぷら  合う 真澄   好き  落ち着く グレープフルーツ   好き  勧め 龍神,25
宝剣,生らしいフレッシュな口当たりと甘味、青リンゴ的酸で軽やかにヒケる。宝剣の生はなかなかセクシーですね。宝剣,生らす いる フレッシュ 口当たり 甘味  リンゴ   軽やか ヒケ 宝剣  セクシー 宝剣,29
松竹梅,セブンプレミアムです。一升紙パック。香りはほぼありません。薄ら甘くさらりと飲めます。遠慮なく料理酒にもできます。破格だと思います。松竹梅,セブン プレミアム    パック 香り ある   甘い 飲める 遠慮ない 料理  できる 破格 思う 松竹梅,17
